label,keshi,xiebie,title,zhenduan
1,小儿厌食,,,
1,小儿厌食,"
									男				","小孩厌食怎么办？,你好，我想问一下小孩厌食，怎么办？,小孩厌食怎么办,小孩厌食,小孩厌食该怎么办,小孩厌食怎么办啊?","病情分析：小儿厌食症的治疗：1.改变不良的饮食习惯。如少进食高热量的甜食及寒凉食物。纠正边吃边玩的饮食习惯，不可强迫进食，创造良好的进食气氛，增加食物的花色品种以促进其食欲。鼓励孩子多进食以增加胃容量。2.适量补充微量元素锌及其他维生素如复合维生素B。3.中医治疗小儿厌食症方法较多且疗效好（1）推拿。可在专业医师指导下自己给孩子推拿。（2）中医药治疗。如属脾气不调可用运脾和胃法，药用苍术、山楂、石菖蒲、山药等；如属胃阴不足治以滋阴善胃，药用沙参、麦冬、山药、石斛等；如属脾胃虚弱者治以健胃益气，药用党参、白术、山药、陈皮、甘草等。,
可以适当用点健脾开胃的中成药或试着补一下锌看看。,
意见建议：,： 你好，建议检查是否是有缺锌和是否是有消化不良的可能.建议口服葡萄糖酸锌和山麦健脾口服液试试。让孩子有一个比较安静的进食环境。
,病情分析： 情况考虑是体内微量元素锌缺乏的问题，建议可以检测微量元素看看，建议口服葡萄糖酸锌和山麦健脾口服液试试,不要吃味精和鸡精,这个容易导致缺锌,导致食欲低下的可能.另外注意一定要控制零食. 缺锌也容易导致抵抗力低下的啊.,从你的说明来看孩子是有厌食的表现造成了身体消瘦的这样的情况考虑是这个脾胃虚弱加上缺乏微量元素造成了这个孩子饮食不好的表现的这样的情况可以通过这个健脾丸和补充微量元素的药物治疗才可以改善的我建议口服这个鸡内金片大山楂丸胃蛋白酶硫酸锌等药物治疗这样就可以眷的改善孩子的饮食不好的情况的,孩子不爱吃饭有两种情况一是脾胃虚弱，再就是缺锌缺钙也是可以引起的，你最好是到医院化验一个微量元素以便确诊再对症治疗。,孩子脾胃 虚弱的话，可以给孩子吃点参苓白术散和健胃消食口服液;孩子缺锌、钙引起的，可以适当补充 甘草锌、龙牧壮骨冲剂等，但是最少要补充一个月左右。,也可能是缺锌,也可能是消化不良.还可能是吃零食的原因.还需要检查肝功啊.,建议口服葡萄糖酸锌试试,不要吃味精和鸡精,这个容易导致缺锌,导致食欲低下.另外口服山麦健脾口服液或四味脾胃舒颗粒试试啊.还要注意检查肝功啊.注意控制零食啊.零食吃得多也可能影响食欲,影响正常的进食的啊.祝你早日康复！"
1,小儿厌食,"
													","营养不良，不易吸收。,小孩严重厌食怎么办才行的？,小孩厌食应该怎么办啊的？,小孩严重厌食怎么办,小孩厌食可怎么办，要补什么吗？,厌食严重导致营养不良怎么办？","你好，小孩吃奶粉有腹泻、呕吐，容易出汗，面色苍白，营养不良，考虑小孩胃肠道功能发育尚未完善，饮食更换过快所致，可能与过敏及奶粉质量有关。,建议不要过早添加辅食，吃 奶粉容易腹泻，可考虑换一种再试试，如果还是腹泻，可能有过敏 的可能，那么可考虑进食其他补品，适当口服益生菌片。,你好孩子的食物除考虑到各种营养以外还应注意丰富多样和容易消化尽量做到食物品种多而色香味俱佳使孩子看到闻到就产生想吃的愿望同时烧给孩子吃的菜应切得细些饭不要煮得太干以便于他们咀嚼平时应定时适量地给孩子进食并保证让孩子吃一定数量的蔬菜和水果注意不要使孩子吃得过饱,你好，多给孩子吃新鲜水果。夏天是水果大量上市的季节，如果孩子实在不爱吃饭，可以多给他们吃一些水果。但寒性易上火的水果，比如西瓜、荔枝、杏等要少给孩子吃。水果一般上午吃好，饭后半小时至一小时后吃较好。
,你好，孩子的食物除考虑到各种营养以外，还应注意丰富多样和容易消化，尽量做到食物品种多而色香味俱佳，使孩子看到闻到就产生想吃的愿望，同时，烧给孩子吃的菜应切得细些，饭不要煮得太干，以便于他们咀嚼。平时应定时，适量地给孩子进食，并保证让孩子吃一定数量的蔬菜和水果，注意不要使孩子吃得过饱。　
,你好也可能是缺锌，也可能是消化不良.还可能是吃零食的原因.还需要检查肝功啊，建议口服葡萄糖酸锌试试，不要吃味精和鸡精，这个容易导致缺锌，导致食欲低下.另外口服山麦健脾口服液或四味脾胃舒颗粒试试啊.还要注意检查肝功啊.注意控制零食啊.零食吃得多也可能影响食欲，影响正常的进食的啊..
,你好您的孩子是已经住院全面检查过除外了其它各种可致厌食消瘦的疾病吗从症状上看尚有头痛呕吐是否做过头颅MRI这种情况必须经仔细的检查明确病因后方好治疗"
1,小儿厌食,"
									男				","?孩子就是流鼻涕不发烧或高热不咳嗽不头痛,小孩吃完补钙铁锌之类的的东西后没几天就生病发热为什么,小孩发热,小孩吃了合生元,钙铁锌片,和维生素ad。然后发烧是什么原因,6周小孩吃孢克头孢克肟颗粒计量，发烧了，能吃两袋吗，...,两岁小孩，肺炎咳嗽，不发烧，缺钙铁锌，但精神很好，住院输..."," 注意你说的药物通用名是小儿氨酚烷胺颗粒，这个药物主要成分是乙酰氨基酚、盐酸金刚烷胺、人工牛黄、咖啡因、马来酸氯苯那敏。,首先孩子的年龄建议是一日两次，一次一包，你给孩子的剂量本身就大，同时如果一次口服四包肯定是不可以的，这个药物最可能会导致孩子出现肝肾功能损害，所以建议对于孩子进行肝肾功能的检查，同时必须注意孩子单纯的流鼻涕并不一定就是感冒的表现，所以建议停止你说的药物治疗。,你好，根据你的描述有可能是宝宝受凉引起的感冒症状，并不可能是吃钙铁锌之类的导致的。,建议去正规医院检查一下，确定病因后及时治疗。平时多给孩子吃水果和蔬菜。,你好，根据你的提示建议你需要进行血常规的检查看血象是否高，如果不高只要进行补液治疗就可以了。,一般来说大多数的发热都是因为感染引起的,感染的病原体可以有细菌,病毒,支原体等等,以前两种最为多见,建议你给孩子化验个血常规,他可以大致反应孩子感染的到底是细菌 还是 病毒,然后根据结果选用抗生素或者是抗病毒药物.病毒感染后期容易并发细菌感染,所以如果不方便去化验的话可以抗生素和抗病毒药物同时服用.体温超过38.5摄氏度的话可以使用退烧药,你好；这个一般看说明 服用就行了，只能看包装说明各厂的剂量 用法用量是不同的。要多喝水 禁辛辣密切观察，祝您健康。,你好这个情况要考虑因为肺炎的原因导致的肺炎的治疗原则是应用消炎药物，杀灭病原菌。根据不同的病原菌选用敏感的药物，早 期   治疗、足疗程，可根据病情选择治疗方案，同时还应对症治疗如发热时给予服用退热剂，咳嗽应给予化痰止咳药物，对重症肺炎应及时到医院进行相应的住院治疗。"
1,小儿厌食,"
									女				","淋巴结肿大怎么办？淋巴结发炎了，有个大疙？淋巴结肿...,感冒和气管发炎能否引起纵隔淋巴肿大？我的孩子今年7岁...,我女儿前几天发烧了喉咙有点发炎我带她去医院看了医生...,孩子淋巴结发炎怎么办,我是地图舌发炎挺疼的怎么办？而且下颚有一个淋巴结肿...,我女儿前几天发烧了，喉咙有点发炎，我带她..."," 你好！  出现淋巴结肿大的症状，说明你体内有炎症。,需要消炎治疗，口服消炎药就可以，如果输液治疗最好第一针要医院去输液，没有反应后，第二针才可以在家输液的。, 您好：是有可能造成局部淋巴肿大的。淋巴结肿大非常多见，,可发生于任何年龄段人群，可见于多种疾病，有良性，也有恶性，故重视淋巴结肿大的原因，及时就诊、确诊，以免误、漏诊，是非常重要的。下面就谈一谈淋巴结肿大的常见原因。,你好淋巴结因内部细胞增生或肿瘤细胞浸润而体积增大的现象临床常见的体征淋巴结肿大非常多见可发生于任何年龄段人群可见于多种疾病有良性也有恶性故重视淋巴结肿大的原因及时就诊、确诊以免误、漏诊是非常重要的小儿淋巴结肿大也不排除有麻疹建议在正规医院儿科就诊在医生指导下进行治疗。,你好，目前有发热。考虑急性淋巴结炎。建议静脉输液青霉素治疗。另外发热可以对症治疗服用退热药。, 你好 地图舌是一种原因不明的良性、慢性、浅表性、剥脱性局限性舌炎，可能为常染色显性遗传，属中医药斑舌范畴，多因阴虚，虚火上升所致,1．一般不需特殊治疗，进行定期观察。 　　
2．消除不良刺激因素及口腔病灶。 　　
3．保持口腔卫生。,长期淋巴结肿大有可能导致严重的淋巴瘤淋巴瘤是什么引起的：一、免疫因素：淋巴瘤是什么原因引起的，免疫因素是淋巴瘤发病的重要原因之一二、病毒病因：病毒是肿瘤病因学研究的一个重要方向。就目前研究的状况来看，与淋巴瘤关系比较密切的病毒有EB病毒、人类嗜T淋巴细胞病毒、人类嗜B淋巴细胞病毒。三、遗传因素：四、物理病因（辐射）：淋巴瘤发病原因不仅与吸收辐射的剂量有关，还与受辐射时的年龄有关，25岁以下受辐射的人群，淋巴瘤的发病率比其他人群高。五、化学病因：六、饮食结构：淋巴瘤是什么原因引起的，随着现代生活饮食结构的改变，长期的酸性体质是淋巴瘤发病原因之一。早期淋巴瘤要怎么治疗：对于淋巴瘤的治疗，现在临床上比较倾向于手术、放化疗结合、中医治疗、中西医结合的综合治疗方式。中医治疗具有效果好，无副作用的优势，配合手术、放化疗起到增效减毒的作用。最常用作配合西医治疗的中药是含量在16%以上的人参皂苷Rh2(护命素)，其具有抗肿瘤和免疫调节双重功效，配合西医治疗方式，起到降低副作用，减轻患者疼痛，从而达到更好的治疗效果。"
1,小儿厌食,"
									女				","五个月女宝宝干咳,晚上睡觉时干咳,刚刚满月的女宝宝为什么偶尔干咳几声？,三周女宝宝晚上老是干咳怎么办,11个月女宝宝干咳怎么办,2岁女宝宝发烧伴有轻微的干咳，之前有过两？2岁女宝宝...","你好，宝宝可能是有轻微的急性支气管炎，是由于各种致病原因（主要是细菌或病毒或支原体感染）引起的支气管炎黏膜感染，常常继发于急性上呼吸道感染。主要临床表现为：大多先有上呼吸道感染症状，之后以咳嗽为主要症状，开始为干咳，以后有痰。有的出现呼吸道症状如恶心，呕吐等。,治疗建议：让孩子多喝水；口服青霉素类和头孢菌素类消炎药；口服止咳化痰药如咳必清、舒喘灵；发热时口服布洛芬颗粒。先吃药看看怎么样，如果症状不轻，实在不行就去医院输液。,您好，宝宝的干咳最常见的原因是咽喉的炎症引起的。注意宝宝有没有出现发热等症状才是可以。,1.治疗的方法是可以选择口服阿莫西林颗粒和小儿咽扁颗粒等。生活上是需要注意保暖。适当的多喝水等。
祝早日康复,朋友你好，根据你的描述宝宝偶尔咳嗽几声是没什么事的。是因为会厌部发干引起的不适。,朋友你好，这种情况建议多喝水就可以了，如果咳嗽的频了就要注意了，有可能是宝宝呼吸道感染了，要去医院检查看看了。,这是要听诊下再进行治疗为好的，积极的进行消炎，多喝水，有利于恢复。,你好，宝宝咳嗽多由于炎症刺激上呼吸道引起的，主要以咳嗽，流鼻涕，喷嚏为主要临床表现。,建议多给宝宝喝水，可给予小儿感冒颗粒和小儿清肺化痰止咳颗粒治疗，早晚注意保暖，不吃辛辣油腻食物。, 你好！现在就要注意体温的变化，要是体温超过38.5度的话就要及时的吃退烧药。,要注意及时的去医院检查一下什么原因引起的，住院治疗/"
1,小儿厌食,"
									女				","孩子突然就开始哭闹，喂饭不吃，,您好我怀孕12周了 从一个多月点胃就开始难受 吃了饭难...,有一个多星期了，孩子饭也不吃，喂也不吃。就是吃一点...,我女儿现在二十八个月了，喂饭很难了...,我女儿四岁半了，每次喂饭给她都不吃,宝宝平时都很乖，白天睡觉多。为","你好，患儿一般烦躁不安、拒食、呕吐、气促、盗汗、苍白，肢体发冷、发绀。儿童可诉心悸、心前区不适，烦躁或乏力、头晕、恶心、呕吐、腹痛。发作持续时间超过４８小时以上可导致心衰或心源性休克。,病情分析： 怀孕期间这情况应该是肠胃不适的，建议少食多餐，不要吃辛辣刺激的食物为好，可以考虑吃健脾丸调理的，做好产检，产检没问题的话就没事的, 你好，跟据你的描述，考虑宝宝是不是闹嗓子呢，还有是不是肚胀。,建议带宝宝到医院检查一下嗓子看是不是发炎，一般宝宝如果嗓子痛就不爱吃东西。摸摸宝宝肚子看涨不涨，可以多揉揉，促进肠蠕动。, 你好：考虑宝宝的情况肯定对身体不好的。建议你让宝宝注意休息与营养的搭配。,少吃辛辣生冷食物。祝宝宝健康快乐！,有的孩子小时候就是不愿意吃饭的，你可以隔一段别给他喂饭，等他再大一点了再喂，宝宝厌食是不是消化不好？给他喂点鸡内金散，帮助消化的，多给他喂点水，哄他吃奶粉，如果不饿就不要强迫他吃，,孩子的胃很小的，不要你觉得他饿就给他喂饭，他饿了自己就会要的，别着急。,你好！宝宝夜间固定时间哭闹，可能有两种情况，一种是可能是缺钙了，另一种情况可能是肠痉挛、闹肚子，请注意观察宝宝是否有睡觉易惊、出汗多、大便消化不良等症状。,请注意观察宝宝是否有大便性状改变、次数增多，是否有易惊、多汗等症状。"
1,小儿厌食,"
									女				","您好，我的小孩从小食欲不振，不,我家弟弟九岁了，不喜欢吃饭，也不吃肉，这,请问专家；复方太子参颗粒。醒脾,我外甥今年11岁，个子挺高，但就是瘦...,我家孩子快2岁了，不吃饭、只吃,怎样吃鸡蛋，胆固醇吸收的能少一些","你好应该看看宝宝现在多大了，出现您所说的情况，有可能是跟胃肠道功能紊乱有关系,根据您所提供的情况，你可以到医院去化验一下血常规看看宝宝有么有贫血的情况可以吃一些，调节胃肠道，的药物试试看 如果是发育落后的话，应该是到小儿神经内科就诊看看一般有可能是脑子的问题，,少年儿童食欲缺乏的原因很多，可能与缺乏某种微量元素有关，也可能是铅含量过多引起的食欲不好。。,建议去医院进行微量元素检查，根据检查结果看具体缺乏什么微量元素，然后补充缺乏的微量元素，如果是铅含量超标的话可以服用排铅口服液。,这个用于脾气虚所致的儿童厌食，腹泻便溏，烦躁盗汗，,这个主要是饮食习惯差造成的，首先要戒掉所有零食，另外可以带孩子去医院化验血常规及微量元素检查明确情况。,孩子快2岁了，不吃饭主要吃奶粉、而且身体也瘦小这种情况考虑和营养不良、偏食有关,可以进一步检查微量元素，建议调节辅食配合奶粉加强营养,你好，鉴于你所说 的情况，对于鸡蛋的蛋黄中含有大量的胆固醇,所以对于高胆固醇的人来说，进食鸡蛋需要把蛋黄去除，只吃蛋白"
1,小儿厌食,"
									女				","感冒了，可以喂宝宝吃奶吗,你好我的乳房好痛在喂宝宝吃奶,二岁半宝宝吃饭急或者吃饭反抗，就会吐,有心机缺血可以喂宝宝吃奶！,宝宝四个月了一直喂奶粉,最近不爱吃奶,看见别人吃饭她也要吃,宝宝吃奶后多长时间可以喂水果","你好，是可以给你宝宝喂奶的，建议你做好预防措施的， 感冒是可以从呼吸道传染的，祝健康！,可能乳腺炎的症状，建议你在医生的指导下服用药阿莫西林治疗，同时用硫酸镁热敷。,你好，缓解胃疼的方法：喝点热水（热一点的，但不要烫），同时用热水袋捂胃部。但这是痛时的办法，起缓解作用。也可以枕高点枕头，侧卧睡，曲卷起身体，像婴儿一样，也可缓解。最重要的是平时注意保养，并认真治疗  。平时尽量避免吃辛辣或冰凉的东西，避免再次造成胃部不适，多吃点清淡点东西，如小米粥，馒头之类的，养养胃。,你好，可以的，母乳中含有的免疫因子是奶粉替代不了的，母乳的话，妈妈的饮食要以清淡为主，不可以吃刺激性、油腻、生冷的食物,你好，婴儿因生长发育比较迅速，机体代谢较为旺盛，其对营养物质的需要也较大，一般在满四个月后可适当添加些辅食的。,建议你可给宝宝添加些富含丰富热量、维生素、蛋白质的食物，如米汤、粥、蛋黄等。,您好，一般是需要吃奶后半个小时是可以吃的，多喝水，祝你宝宝健康！"
1,小儿厌食,"
									女				","我的胃病己有几年，二三个小时就要吃饭，不然就会疼。...,我女儿最近尿特别的少，一天才二三泡尿，而,我吃饭不饱时，过二三个小时就会,快来快来帮忙啊,麻烦帮忙，谢谢,吃饭睡二三小时就好痛女三十"," 你好，你现在的情况来看，你现在不能排除是胃溃疡所致的，到医院胃镜检查的。,关于你的问题，我建议你饮食要清淡，到医院消化科详细检查的，好进一步治疗的。,您好，尿少的常见原因有：饮水少；天气热、出汗多，水分由皮肤挥发；肾脏病；低蛋白，水分跑到组织间隙，使尿液减少。,建议您到肾内科就诊，抽血检查肾功能，查尿常规，做泌尿系B超。如果都没问题，建议多喝水，也可以多喝些清补凉等甜饮料，煮些冬瓜，玉米排骨汤也有用。,你好，这种症状考虑是不是有胸膜炎的情况引起的。,建议到医院进行详细的检查一下看看的，注意进行检查一下胸片看看的。然后进行消炎的治疗。祝你身体健康, 您好，根据您的描述，是有怀孕的可能性的，女性的排卵日期一般在下次月经来潮前的14天左右。下次月经来潮的第1天算起，倒数14天或减去14天就是排卵日，排卵日及其前5天和后4天加在一起称为排卵期。正确的掌握排卵期，对于年轻女性来说很重要：想怀孕的，在排卵期的第一天开始，保持两天做爱一次的频率，坚持几个月，如无特殊情况，一般会怀孕的。而不想怀孕的女性，则需要错过这几天过性生活，这时候，排卵期就会被称为另外一个名词：危险期。,建议您按以上方法判断排卵期，一般怀孕7天就可以查出，建议您用验孕试纸自行检测。,你好，只要发生了无避孕措施的性关系就是有怀孕的可能性。,怀孕是个概率性事件，主要发生阴茎进入阴道内的行为，就是采取了体外射精也是有怀孕的可能性。因为射精前可能就有少量精液已经进入了女性身体。,你好，可能是属于胃炎的症状，一般临床基本建议及时休息继续胃炎颗粒。"
