label,keshi,xiebie,title,zhenduan
1,小儿麻痹后遗症,,,
1,小儿麻痹后遗症,"
									男				","暴牙能否矫正,眼睛斜视能否矫正？,脚部变形能不能矫正过来,咨询一下，畸形脚部矫正,青少年鸡胸，能否矫正,化疗期间脚部骨折能否继续化疗","指导意见：美容冠牙齿矫正技术在流行于中韩、日韩的一种新兴牙齿美容技术，是在传统烤瓷牙的基础上强调牙齿的美容效果，对错位牙、畸形牙的冠部分施以手段，最后用美容冠加以修复。具有美牙不拔牙，无痛苦，时间短，牙齿坚固，多年后牙龈不会出现黑线等优点，从而达到终生有保障的美牙效果。,病情分析： 你好,斜视的治疗是一个非常复杂的问题，包括屈光不正的矫正、弱视的治疗、双眼单视功能的训练及眼位矫正。临床上除了完全由远视眼调节过度、辐辏过强引起的调节性内斜视、戴镜可以使斜视全部矫正外，其他各类斜视基本都需要手术矫正，（一）手术疗法乃以手术的方法调整外眼肌的强度与附着点的位置，使眼位趋于正常。先天 性内斜视与上下斜视大多需要手术治疗，非调节性而且斜度大的斜视通常亦需要借着手术的方法来矫正。（二）非手术疗法：并非所有的斜视都需要手术治疗，如果是调节性内斜视，只要戴上适当的远视眼镜或双光镜就可以矫正。如果并有中高屈光异常，亦常需配戴眼镜来矫正.,这个要看看是什么原因导致的，比如是不是一些骨骼的疾病，一些损伤导致的，可能还是难以恢复的，要实际的就医评估的，方便话麻烦给个评价,你好. 都可以矫正的.生活上应该减少刺激性食物,忌油腻，忌腥荤,平时注意避免劳累，多食蔬菜水果，积极补充维生素C,先医院做个心脏彩超排除先心病，鸡胸，可加钙片，,饮食上多吃富含钙的食物，如鱼虾，牛奶等，多晒太阳，经常扩胸运动，如引体向上，俯卧撑等 。,意见建议：你好，祝你身体健康。嘱病理性骨折，可继续化疗。"
1,小儿麻痹后遗症,"
									女				","请问，我的左脚走路时脚踝骨向外崴，走路时左脚不能放...,脚崴到了，右脚向外踝崴的(尽快,走路脚向外崴会造成o型腿还是x型腿,走路时脚有点向外崴能蹦能跳拍片说是拖垮,了，可是脚不能放平走路，脚抬不上去。,脚不能放平走路，放平走脚掌疼，是什么原因，用什么药...","病情分析： 您好，考虑没有关系，不排除骨骼畸形的可能，建议考虑手术治疗,您好，按症状来说不能判断是否存在骨折的，如果担心的话，那么很可能需要就诊拍片等检查清楚确定的,之后可以就诊检查清楚，可以拍个踝关节正侧位片检查，确定是否存在骨折，之后才能更好的治疗的，这点你应该了解清楚,你好，考虑为腿部外撇多为O型腿，严重时需要去医院拍片检查并行矫正术治疗。,： 拖垮是先天性髋关节脱位，主要由于髋臼、股骨头、关节囊、韧带和附近肌肉先天性发育不良或异常，导致关节松弛，半脱位或脱位，此外，胎儿在子宫内位置不正常，髋关节过度屈曲，也易致本病，另外遗传因素也较明显。
,：建议推拿治疗，每天按揉髋关节局部穴位，加上揉二马、补肾经、补脾经、平肝，同时配合康复锻炼。, 你好，根据您的情况应该是肌腱挫裂伤，建议服用芬必得，双氯芬酸，三七伤，氯唑沙宗，维生素Ｅ，Ｃ，云南白药等,建议口服甲钴胺片，可以营养神经，利于损伤的神经细胞康复，多喝水，适当增加饮食营养，注意营养均衡就行了。祝你健康！,出现有这样的问题，很有可能是出现有外伤，这样是可以出现有扭伤的问题，在治疗的时候，主要是可以去消肿止疼。,还有就是出现有老年性的退行性的病变，这样很有可能是出现有骨刺的问题，这样在治疗的时候，主要是。需要补钙，比较严重需要手术，"
1,小儿麻痹后遗症,"
									男				","小儿麻痹证是后遗症,小儿麻痹后遗症,小儿麻痹症后遗症,小儿麻痹后遗症 治疗,小儿麻痹症后遗症,小儿麻痹后遗症"," 脊髓灰质炎（poliomyelitis 以下简称polio）又名小儿麻痹症，是由脊髓灰质炎病毒引起的一种急性传染病。临床表现主要有发热、咽痛和肢体疼痛，部分病人可发生弛缓性麻痹。流行时以隐匿感染和无瘫痪病例为多，儿童发病较成人为高，普种疫苗前尤以婴幼儿患病为多，故又称小儿麻痹症（Infantile paralysis）。,病症治疗　　处理原则是减轻恐惧，减少骨骼畸形，预防及处理合并症，康复治疗。,
前驱期及瘫痪前期,
　　1、卧床休息病人卧床持续至热退1周，以后避免体力活动至少2周。卧床时使用踏脚板使脚和小腿有一正确角度，以利于功能恢复。 　　2、对症治疗可使用退热镇痛剂、镇静剂缓解全身肌肉痉挛不适和疼痛；每2~4小时湿热敷一次，每次15~30分钟；热水浴亦有良效，特别对年幼儿童，与镇痛药合用有协同作用；轻微被动运动可避免畸形发生。,小儿麻痹后遗症是一种严重的致残性疾病，发病的结果造成患儿的肢体终生残疾。,小儿麻痹症在发病两年以后留下后遗症，病情不再进展，但也不易好转，治疗要从患儿的全面障碍和需要来处理，尽早做康复治疗,是一种严重的致残性疾病,发病的结果造成患儿的肢体终生残疾.影响患儿的生活, 可以找一家好的康复机构进行训练, 这个疾病目前为止没有好办法治疗。这个疾病不能使用手术治疗，如果有畸形，,可以通过手术治疗纠正，但是不可能完全治愈。,对于小儿麻痹症后遗症这个问题你需要引起重视，关于你请问的小儿麻痹症后遗症这个问题我来为你解答如下：小儿麻痹症表现为弛缓性瘫痪，不对称，腱反射消失，肌张力减退，下肢及大肌群较上肢及小肌群更易受累，,但也可仅出现单一肌群受累或四肢均有瘫痪，如累及颈背肌、隔肌、肋间肌时，则出现梳头及坐起困难、呼吸运动障碍、矛盾呼吸等表现。,你好，目前没有很好的办法，主要靠功能锻炼和康复训练开恢复
早期的康复治疗效果应该会很好的"
1,小儿麻痹后遗症,"
									女				","脊髓灰质炎可以治疗吗,脊髓灰质炎可以治疗吗,脊髓灰质炎可以治了吗？,脊髓灰质炎可以治疗吗,脊髓灰质炎可不可以吃韭菜,脊髓灰质炎可不可以吃莲子","你好，从你谈到的这情况来看 ，一般可考虑针灸、按摩、拔罐或TDP神灯的照射等疗法来治疗的。 同时服用些营养神经的药。,脊髓灰质炎尚无特效的治疗，由于脊灰病毒侵袭神经系统，会导致不可逆转的瘫痪。
建议采用按摩、推拿、针灸及理疗等，以促进瘫痪肌肉的恢复。如因严重后遗症造成畸形，可采用矫形手术治疗。,你好，脊髓灰质炎是由于脊髓灰质炎病毒侵入血液循环系统而引起的急性传染病。,建议；脊髓灰质炎的主要传播途径是病毒进入口腔后，开始自我复制，入侵血液，甚至可能侵入中枢神经系统，并且可以通过咽部分泌物、粪便排出脊髓灰质炎病毒，造成大面积的脊髓灰质炎传播。,你好！脊髓灰质炎可以治疗的，但是产生的后遗症是比较难以恢复的。,脊髓灰质炎不可以吃韭菜,脊髓灰质炎又称小儿麻痹症，是由脊髓灰质炎病毒引起的小儿急性传染病。脊髓灰质炎的患者是不建议食用韭菜的，韭菜具有一定的辛辣性，属于刺激性的食物。脊髓灰质炎的建议清淡饮食、多喝水，食用一些维生素含量丰富的蔬菜水果，食用一些蛋白质含量丰富的食物，不仅可以补充机体所需要的营养，还具有提高机体免疫力的作用。,脊髓灰质炎可以吃莲子,脊髓灰质炎是急性传染病，由病毒侵入血液循环系统引起，部分病毒可侵入神经系统。患者饮食一般没有什么禁忌，但是要注意荤素搭配饮食，切不可挑食，莲子对脊髓灰质炎患者来说有清热下火等功效，对患者机体有很好的补益功效。是可以食用的"
1,小儿麻痹后遗症,"
									男				","颈椎增生的最好治疗方法,如何治疗颈椎增生最好?,请问颈椎增生采取什么样的治疗方法最好？,颈椎增生怎样治疗,颈椎增生走咋治疗,颈椎增生怎样自己治疗","颈椎骨质增生以后可以导致颈椎间盘的压力发生变化，从而导致颈椎间盘向后脱出压迫臂丛神经以及脊髓，出现颈部疼痛以及上肢疼痛的症状,如果现在的症状并不是很重，发病的时间也不是很长，可以先去做一些针灸按摩理疗缓解疼痛，另外平时生活不再有太多的低头工作状态,意见建议：患了颈椎病需要到医院做按摩、牵引、封闭、针灸等治疗 ，还可吃些壮骨关节丸或骨刺消痛液,你好  配合红外线照射、热敷理疗、针灸推拿、按摩、局部封闭、神经阻滞、牵引、中医中药等、治疗后还要坚持适当的体育锻炼，注意保持良好的姿势，使肌肉韧带处处于松弛状态，以巩固治疗效果，减少病情复发。对于极少数因骨刺压迫神经、血管引起功能障碍者，应考虑手术切除，以彻底消除病根。
, 颈椎增生是指颈椎间盘的退行性病变及骨质增生压迫颈部脊髓或颈神经根之疾患，又称颈椎综合症，中医属“骨痹”，“慢性劳损”范畴,针灸、耳针、理疗、中药、穴位注射和磁疗等均有一定效果。西药治疗、如维生素止痛药类及血管扩张药等均有一定的疗效。　,病情分析： 一般长期一个姿势工作，尤其是电脑工作者会造成颈椎病。,意见建议：建议您工作时过一段时间就得活动一下筋骨，您可以试试保健操，双手上举成十点十分状，保持十分钟，每天练习，效果还是不错的。,病情分析：你好此病的情况是退行性变的情况的。,
意见建议：一般的情况是可以采用针灸、按摩、中药的治疗的。,
生活调理：不要劳累。"
1,小儿麻痹后遗症,"
									男				","跟键延长手术后,跟键延长术,跟键炎怎么可以治疗？,跟键断裂能恢复吗,跟键挛缩一定要通过手术治疗吗？仅仅通过训练可以治疗吗？,跟键术后多久可以锻炼，","你好，你的情况的话是考虑是跟你的手术是有关系的，目前的话是可以先药物的治疗为主的,建议是可以给以非甾体抗炎药和钙针的治疗为主的，看是不是可以缓解你的症状的,你好，你说的这种情况通过我们的分析认为最好平时多作康复训练。适当补充钙质。,： 跟腱炎的疾病，往往是可以引起疼痛症状的。是常见的疾病的。


指导意见:


一般的情况往往是可以采用中药、消炎止痛药物、理疗、外用药物、按摩等治疗的。此种情况注意平时的保养的。注意不要劳累着凉的。,这个是可以恢复正常的，建议积极手术治疗一下,你好：根据你的描述多考虑是慢性咽炎的可能大，注意营养，增强体质锻练。避免刺激性食物及烟酒，发音不当应矫正。在有粉尘或刺激性气体环境中工作者应戴口罩。局部可用复方硼砂溶液、呋喃西林、2硼酸液、3盐水等漱口，3碘甘油涂咽，或者含化碘喉片，薄荷喉片及六神丸等。口服滋阴生津、清热润肺中药，如元参、麦冬，生地，双花，射干，甘草煎服。对肥厚性咽炎可用10~30％硝酸银涂咽或用电凝固法。紫外线照射，冷冻治疗，激光治疗等均可收到一定效果。对萎缩性咽炎可服维生素A、B2、C、E以促进粘膜上皮增生。,术后踝关节跖屈，屈膝30°长腿石膏固定；
3周后改为高跟短腿石膏，并常规进行股四头肌锻炼；
6-8周后拆除石膏行踝关节功能锻炼；,恢复后不可以做剧烈运动，可以循序渐进做关节活动和负重的训练，剧烈运动要禁止，防止再度损伤。"
1,小儿麻痹后遗症,"
									女				","后背疼痛是脊柱侧弯吗,脊柱侧弯，后背前胸疼痛，两肩疼,肩膀痛,后背疼脊柱侧弯.来月经时疼痛加重是怎么原因,脊柱侧弯引发疼痛,脊柱侧弯后背疼是怎么回事,脊柱侧弯导致腰痛","一般说来,当脊椎之任何组织结构出现异常时,就可能出现症状.最常见的原因是椎间盘突出,压迫神经,导致疼痛;其次软组织受损像肌肉扭伤,韧带拉伤等, 
建议你到医院的骨科去,要求拍张颈部的X光片检查一下,看看是否是骨质增生而引起的你说的这些现象.,应该是由于过度劳累所造成的局部软组织损伤这种情况的时候就会出现肌肉痉挛现象，所以会出现脊柱侧弯，而且会出现，各个关节的疼痛,，这个时候我们就可以通过口服一些布洛芬胶囊活血止痛胶囊云南白药胶囊，筋骨痛消丸也可以口服一些活血，化瘀胶囊。配合针灸治疗处理。,你的情况还是属于肩周炎情况导致出现不适的情况，经期附近气血虚的情况易导致加重,平时的情况最好是避免着凉或者久坐的情况，积极选择按摩配合活血止痛胶囊较好的，注意少食生冷刺激性食物，同时建议观察经期出血量的情况是否正常，平时的情况最好是避免着凉的情况,请先上传检查片子。,脊柱侧弯时后背脊柱两侧的肌肉承重就不相同了一侧经常过伸另一侧则经常处于屈曲时间久了肌肉就会因这种长期慢性的受力不均导致慢性损伤尤其是经常过伸一侧的肌肉. 这个叫做 运动系统的慢性损伤性疾病.没有什么特效药. 可以在疼痛的肌肉皮下注射激素但是要有医生的指导不可以自己乱来. 适当的按摩缓解肌肉的紧张也是可以的但同样要专业的有经验的医生来实行.,您好腰椎间盘突出主要症状为腰痛弯腰干活后加重压迫神经一侧或双侧胯部大腿后侧小腿外侧放射性疼痛小腿发胀咳嗽喷嚏时加重屈体及卧床休息后疼能缓解重则腰椎侧歪不能直腰甚至瘫痪急性期过后疼痛区域转变为麻木个别患者肌肉萎缩吃药打针消除不了炎症会伤及肠胃;针灸、按摩、牵引只能缓解一下暂时的疼痛当受凉劳累姿势不正确时就易复发或加重;手术风险大恢复期长有并发症容易复发;可以采用中医穴位外敷法可强筋健骨活血化瘀消肿止痛的功效不仅能控制阻止骨关节病的发展恶化而且患者康复后不易复发.安全无副作用日常生活中应当注意劳逸结合姿势正确避免久站久坐宜选用硬板床保持脊柱生理弯曲.祝早日康复"
1,小儿麻痹后遗症,"
									女				","小儿麻痹症后肌肉萎缩可否能医？,小儿麻痹症四十年后出现肌肉萎缩无力,小儿麻痹症大腿肌肉萎缩可否能医？,小时候患过小儿麻痹症，现在还能治...,我是一个换18年小儿麻痹症的人现在双腿无力肌肉萎缩请...,小儿麻痹症肌肉萎缩怎么治疗","你好，目前没有好方法来治疗，建议你采取中医针灸理疗的方法来恢复。,你好，小儿麻痹症，是由脊髓灰质炎病毒引起的一种急性传染病。经常搞好环境卫生，消灭苍蝇，培养卫生习惯等十分重要，本病流行期间，儿童应少去人群众多场所，避免过分疲劳和受凉，推迟各种预防注射和不急需的手术等，以免促使顿挫型感染变成瘫痪型。
,这个要看程度，如果是比较轻微的话是可以治疗的, 你好，根据你提供的情况，考虑为小儿麻痹症导致的后遗症。肌肉萎缩无力是因为神经损伤导致的。,小儿麻痹症导致的后遗症，没有太好的治疗方法，主要是通过物理治疗，康复理疗，使肌肉不会进一步萎缩，增强肌力，所以建议到医院的康复科就诊，行康复理疗，争取最大程度的回复肢体的功能。,我们经常说不用则废，所以适当科学的锻炼是必须的，再配合适当的治疗会有不错的效果。,建议在医院进行针灸康复治疗，并坚持进行锻炼，只要有毅力会收到效果。,(1)在患病以后要及时找医生看病不能拖延配合医生做好各种治疗和训练比如按摩、针灸、肢体运动功能练习等　　(2)休息时保持肢体在良好的位置上并且要经常变换肢体的姿势和位置以避免形成不良的肢体畸形比如患儿长期围坐在床上就容易造成脊柱弯曲、双下肢关节伸不直、腿弯曲、脚变形等残疾为避免这些残疾就不应该让患儿长坐不动　　(3)经常活动患肢的关节患儿的肢体长久不动会慢慢变细严重时肢体还会弯曲变形防止的办法是经常活动患肢家人可以帮助患儿活动患肢关节最好是把关节活动到最大程度这样反复训练可以防止患肢的关节变硬、变形　　(4)避免不良姿势的站立、行走比如小腿弯曲、外翻变形患儿在这种姿势下勉强站立和行走可加重下肢的畸形所以应该防止这样不良的活动正确的方法是用夹板把小腿摆直固定好再练习站立和行走这样就可以防止畸形的发生　　(5)合理的使用夹板、支具和石膏等物品保持患肢在正常位置纠正和防止畸形　　(6)及时找医生诊治必要时可以对患肢施行手术矫正已发生的畸形并防止畸形发展或加重"
1,小儿麻痹后遗症,"
									女				","针灸时针到坐骨神经上一年多发现右腿肌肉萎缩可治愈吗,右腰痛，右腿无力。,剖腹产后腰痛无力，右腿无力!,我妈带环4O年，腰痛，右腿无力,腰痛，右腿无力，发麻，右半身短,尿频、小腿浮肿","你好根据你的情况我主要考虑打针损伤坐骨神经的可能由于神经损伤引起肌肉营养不足导致肌肉萎缩,我建议你可以考虑去医院康复科就诊做相关治疗如针灸理疗按摩中药等效果较好恢复到什么程度因人而异,您好：腰痛是一个常见症状，通常可见于很多种疾病，有腰椎疾病，如腰椎间盘突出症，椎管狭窄，腰椎急性扭伤，脊柱小关节错位，类风湿等，腰部软组织疾病，腰肌劳损，肌肉拉伤等，也可见于泌尿生殖系疾病，您的情况陈述简单，不能明确诊断。建议您依据常见的可能因素到医院专业科室检查，以做出明确诊断, 你好，肾阴虚证还可见到：五心烦热、失眠、盗汗、口干咽燥、头晕目眩、梦遗、午后颧红、,建议，肾阴虚者，吃食物一定不能太精细，多吃全谷类食物，如玉米、大麦、燕麦等，这些食物富含维生素，尤其是维生素B1，,你好，根据你的描述分析，宫内节育环是可能导致腰痛不适的。,建议有时间到医院检查一下，明确诊断之后再行对症处理。祝你身体健康。,多半是存在腰椎病的情况，治疗的话还是需要综合调理的，比如可以使用针灸、拔罐或者贴几幅膏药。检查之后如果特别严重的话还需要考虑手术治疗。,平时要养成睡硬板床的习惯，避免负重，更不要长时间的保持一个姿势,你好!下肢浮肿的原因很多,可见于心源性疾病,肾脏疾病引起的水肿,淋巴回流受阻,低蛋白血症，肝硬化，呼吸系统疾病等,建议你去医院进一步详细检查.，确诊病因在对症治疗，"
